package_name	package_version	package_id	dependency_name	dependency_req	dependency_kind	dependency_rename	optional	uses_default_features	features	target	source	registry	dependency_in_workspace	dependency_is_promoted
app_test_support	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/app-server/tests/common#app_test_support@0.0.0	anyhow	^1	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
app_test_support	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/app-server/tests/common#app_test_support@0.0.0	base64	^0.22.1	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
app_test_support	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/app-server/tests/common#app_test_support@0.0.0	chrono	^0.4.43	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
app_test_support	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/app-server/tests/common#app_test_support@0.0.0	codex-app-server-protocol	*	normal		false	true					true	true
app_test_support	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/app-server/tests/common#app_test_support@0.0.0	codex-core	*	normal		false	true					true	true
app_test_support	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/app-server/tests/common#app_test_support@0.0.0	codex-protocol	*	normal		false	true					true	false
app_test_support	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/app-server/tests/common#app_test_support@0.0.0	codex-utils-cargo-bin	*	normal		false	true					true	false
app_test_support	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/app-server/tests/common#app_test_support@0.0.0	core_test_support	*	normal		false	true					true	false
app_test_support	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/app-server/tests/common#app_test_support@0.0.0	serde	^1	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
app_test_support	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/app-server/tests/common#app_test_support@0.0.0	serde_json	^1	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
app_test_support	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/app-server/tests/common#app_test_support@0.0.0	shlex	^1.3.0	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
app_test_support	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/app-server/tests/common#app_test_support@0.0.0	tokio	^1	normal		false	true	io-std,macros,process,rt-multi-thread		registry+https://github.com/rust-lang/crates.io-index		false	false
app_test_support	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/app-server/tests/common#app_test_support@0.0.0	uuid	^1	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
app_test_support	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/app-server/tests/common#app_test_support@0.0.0	wiremock	^0.6	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
codex-ansi-escape	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/ansi-escape#codex-ansi-escape@0.0.0	ansi-to-tui	^7.0.0	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
codex-ansi-escape	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/ansi-escape#codex-ansi-escape@0.0.0	ratatui	^0.29.0	normal		false	true	unstable-rendered-line-info,unstable-widget-ref		registry+https://github.com/rust-lang/crates.io-index		false	false
codex-ansi-escape	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/ansi-escape#codex-ansi-escape@0.0.0	tracing	^0.1.44	normal		false	true	log		registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	anyhow	^1	dev		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	assert_matches	^1.5.0	dev		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	async-trait	^0.1.89	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	bytes	^1.10.1	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	codex-client	*	normal		false	true					true	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	codex-protocol	*	normal		false	true					true	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	codex-utils-rustls-provider	*	normal		false	true					true	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	eventsource-stream	^0.2.3	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	futures	^0.3	normal		false	false			registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	http	^1.3.1	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	pretty_assertions	^1.4.1	dev		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	regex-lite	^0.1.8	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	reqwest	^0.12	dev		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	serde	^1	normal		false	true	derive		registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	serde_json	^1	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	thiserror	^2.0.17	normal		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	tokio	^1	normal		false	true	macros,net,rt,sync,time		registry+https://github.com/rust-lang/crates.io-index		false	false
codex-api	0.0.0	path+file:///home/_404/src/repo_intel/codex/codex-rs/codex-api#0.0.0	tokio-test	^0.4	dev		false	true			registry+https://github.com/rust-lang/crates.io-index		false	false
